Centorid_representative_sequence	Cluster_Bin_ID	dRep_Genome_Rank	Bin_Taxonomy	NCBI_Taxonomy	KO	Final_Taxonomy
Ga0226666_11057681	Not Binned	NA	Unassigned	Aquidulcibacter	ahpC	Hyphomonadaceae UKL13-1 / Aquidulcibacter
Ga0114352_11277241	Not Binned	NA	Unassigned	Aquidulcibacter	ahpC	Hyphomonadaceae UKL13-1 / Aquidulcibacter
Ga0365732_0289736_344_1000	Not Binned	NA	Unassigned	Aquidulcibacter	ahpC	Hyphomonadaceae UKL13-1 / Aquidulcibacter
Ga0114338_11702961	Not Binned	NA	Unassigned	Aquidulcibacter	ahpC	Hyphomonadaceae UKL13-1 / Aquidulcibacter
Ga0114354_10053531	Not Binned	NA	Unassigned	Aquirufa	rpoB	Aquirufa
Ga0114336_100039819	Sample_49613_12.fa	Winning_Genome	Bacteroidetes 49613 E12	Flavobacteriales	rpoB	Bacteroidetes 49613 E12
Ga0114336_100051312	Sample_49614_26.fa	Losing_Genome	Bacteroidetes 49613 E12	NA	CCP	Bacteroidetes 49613 E12
Ga0114337_100047530	Sample_49614_26.fa	Losing_Genome	Bacteroidetes 49613 E12	NA	katG	Bacteroidetes 49613 E12
Ga0114337_10017454	Sample_49614_21.fa	Winning_Genome	Bacteroidetes 49614 E21	NA	rpoB	Bacteroidetes 49614 E21
Ga0114337_10104662	Sample_49614_29.fa	Losing_Genome	Bacteroidetes 49618 E68	NA	rpoB	Bacteroidetes 49618 E68
Ga0114337_10007038	Sample_49618_68.fa	Winning_Genome	Bacteroidetes 49618 E68	NA	katG	Bacteroidetes 49618 E68
Ga0114337_10150854	Not Binned	NA	Unassigned	Bacteroidetes bacterium B1	rpoB	Bacteroidetes bacterium B1
Ga0307117_12758355	Bryobacter_all_coassembly_CONCOCT_Bin16.fa	Winning_Genome	Bacteroidetes CoA8 C16	NA	rpoB	Bacteroidetes CoA8 C16
Ga0365732_1373056_1014_2612	Bryobacter_all_normalized_coassembly_VizBin_Bin36.1.fa	Losing_Genome	Betaproteobacteria 49628 E42	NA	katG	Betaproteobacteria 49628 E42
Ga0114341_100025359	Sample_49628_42.fa	Winning_Genome	Betaproteobacteria 49628 E42	Betaproteobacteria bacterium UKL13-2	rpoB	Betaproteobacteria 49628 E42
Ga0114347_10005133	Sample_49628_42.fa	Winning_Genome	Betaproteobacteria 49628 E42	NA	katG	Betaproteobacteria 49628 E42
Ga0114359_100168410	Sample_49636_10.fa	Losing_Genome	Betaproteobacteria 49628 E42	NA	katG	Betaproteobacteria 49628 E42
Ga0307118_15090421	Not Binned	NA	Unassigned	Betaproteobacteria bacterium UKL13-2	rpoB	Betaproteobacteria bacterium UKL13-2
Ga0226665_10008111	Bryobacter_all_coassembly_Metabat_Bin57.fa	Winning_Genome	Betaproteobacteria CoA8 M57	NA	rpoB	Betaproteobacteria CoA8 M57
Ga0307119_121258201	Bryobacter_all_coassembly_Metabat_Bin57.fa	Winning_Genome	Betaproteobacteria CoA8 M57	NA	katG	Betaproteobacteria CoA8 M57
Ga0114338_10077585	Bryobacter_all_normalized_coassembly_Metabat_Bin60.1.fa	Winning_Genome	Betaproteobacteria CoA8N 60	NA	ahpC	Betaproteobacteria CoA8N 60
Ga0365732_1231445_1184_4840	Bryobacter_all_normalized_coassembly_Metabat_Bin60.1.fa	Winning_Genome	Betaproteobacteria CoA8N 60	NA	rpoB	Betaproteobacteria CoA8N 60
Ga0365732_1328959_58140_60347	Bryobacter_all_normalized_coassembly_Metabat_Bin60.1.fa	Winning_Genome	Betaproteobacteria CoA8N 60	NA	katG	Betaproteobacteria CoA8N 60
Ga0114348_10231192	Not Binned	NA	Unassigned	Betaproteobacteria UKL13-2	ahpC	Betaproteobacteria UKL13-2
Ga0114341_1000157616	Sample_49618_50.fa	Winning_Genome	Blastopirellula	NA	rpoB	Blastopirellula
Ga0114341_100101711	Sample_49618_50.fa	Winning_Genome	Blastopirellula	NA	katG	Blastopirellula
Ga0114341_100101713	Sample_49618_50.fa	Winning_Genome	Blastopirellula	NA	katG	Blastopirellula
Ga0307117_11547201	Not Binned	NA	Unassigned	Bradyrhizobium	ahpC	Bradyrhizobium
Ga0307119_133808471	Not Binned	NA	Unassigned	Bradyrhizobium	ahpC	Bradyrhizobium
Ga0307118_10114371	Not Binned	NA	Unassigned	Bradyrhizobium	katG	Bradyrhizobium
Ga0365732_1426506_579_1031	Not Binned	NA	Unassigned	Brevundimonas	ahpC	Brevundimonas
Ga0226666_10032945	Bryobacter_all_coassembly_CONCOCT_Bin33.fa	Winning_Genome	Bryobacter	NA	CCP	Bryobacter
Ga0071351_10085204	Bryobacter_all_coassembly_CONCOCT_Bin33.fa	Winning_Genome	Bryobacter	NA	ahpC	Bryobacter
Ga0307118_100813577	Bryobacter_all_coassembly_CONCOCT_Bin33.fa	Winning_Genome	Bryobacter	NA	rpoB	Bryobacter
Ga0307118_121028754	Bryobacter_all_coassembly_CONCOCT_Bin33.fa	Winning_Genome	Bryobacter	NA	katG	Bryobacter
Ga0114347_100005922	Sample_49624_46.fa	Winning_Genome	Burkholderiales 49624 E46	Betaproteobacteria	katG	Burkholderiales 49624 E46
Ga0114347_1000062156	Sample_49624_46.fa	Winning_Genome	Burkholderiales 49624 E46	NA	ahpC	Burkholderiales 49624 E46
Ga0114354_100077919	Sample_49632_5.1.fa	Winning_Genome	Burkholderiales 49632 E5	NA	ahpC	Burkholderiales 49632 E5
Ga0114354_100077928	Sample_49632_5.1.fa	Winning_Genome	Burkholderiales 49632 E5	NA	katG	Burkholderiales 49632 E5
Ga0071351_10045973	Sample_42896_18.1.fa	Losing_Genome	Burkholderiales 53603 E6	NA	katG	Burkholderiales 53603 E6
Ga0071351_100076010	Sample_53603_6.fa	Winning_Genome	Burkholderiales 53603 E6	NA	ahpC	Burkholderiales 53603 E6
Ga0114345_100042413	Sample_53603_6.fa	Winning_Genome	Burkholderiales 53603 E6	NA	rpoB	Burkholderiales 53603 E6
Ga0114338_10140265	Bryobacter_all_coassembly_Metabat_Bin58.fa	Winning_Genome	Burkholderiales CoA8 M58	NA	ahpC	Burkholderiales CoA8 M58
Ga0307119_114632329	Bryobacter_all_coassembly_Metabat_Bin58.fa	Winning_Genome	Burkholderiales CoA8 M58	NA	rpoB	Burkholderiales CoA8 M58
Ga0307119_107831862	Bryobacter_all_coassembly_Metabat_Bin58.fa	Winning_Genome	Burkholderiales CoA8 M58	NA	katG	Burkholderiales CoA8 M58
Ga0307118_15193041	Sample_42896_53600_coassembly_VizBin_Bin2.fa	Losing_Genome	Burkholderiales CoA8 M58	NA	rpoB	Burkholderiales CoA8 M58
Ga0365732_1012579_3_3107	Bryobacter_all_normalized_coassembly_Metabat_Bin101.fa	Winning_Genome	Burkholderiales CoA8N M101	NA	rpoB	Burkholderiales CoA8N M101
Ga0114338_10223883	Bryobacter_all_normalized_coassembly_VizBin_Bin22.1.fa	Winning_Genome	Caenarcaniphilales CoA8N V22	NA	ahpC	Caenarcaniphilales CoA8N V22
Ga0365732_1216021_11937_15377	Bryobacter_all_normalized_coassembly_VizBin_Bin22.1.fa	Winning_Genome	Caenarcaniphilales CoA8N V22	NA	rpoB	Caenarcaniphilales CoA8N V22
Ga0114336_10287661	Not Binned	NA	Unassigned	Candidatus Fonsibacter	katG	Candidatus Fonsibacter
Ga0114354_10516971	Not Binned	NA	Unassigned	Candidatus Fonsibacter	katG	Candidatus Fonsibacter
Ga0114336_10514271	Not Binned	NA	Unassigned	Candidatus Fonsibacter	katG	Candidatus Fonsibacter
Ga0114351_11135751	Not Binned	NA	Unassigned	Candidatus Fonsibacter	katG	Candidatus Fonsibacter
Ga0114338_10534632	Bryobacter_all_coassembly_Metabat_Bin11.fa	Winning_Genome	Candidatus Jidaibacter	NA	ahpC	Candidatus Jidaibacter
Ga0307119_1191369119	Bryobacter_all_coassembly_Metabat_Bin11.fa	Winning_Genome	Candidatus Jidaibacter	NA	rpoB	Candidatus Jidaibacter
Ga0307119_108187838	Bryobacter_all_coassembly_Metabat_Bin28.fa	Winning_Genome	Candidatus Jidaibacter	NA	ahpC	Candidatus Jidaibacter
Ga0114341_100014882	Bryobacter_all_coassembly_Metabat_Bin28.fa	Winning_Genome	Candidatus Jidaibacter	NA	rpoB	Candidatus Jidaibacter
Ga0365732_1338213_1220_3244	Bryobacter_all_normalized_coassembly_Metabat_Bin6.fa	Losing_Genome	Candidatus Jidaibacter	NA	katG	Candidatus Jidaibacter
Ga0114337_100409712	Bryobacter_all_normalized_coassembly_VizBin_Bin13.fa	Losing_Genome	Candidatus Jidaibacter	NA	ahpC	Candidatus Jidaibacter
Ga0114354_10034969	Not Binned	NA	Unassigned	Candidatus Limnocylindrus	rpoB	Candidatus Limnocylindrus
Ga0226810_10170851	Not Binned	NA	Unassigned	Candidatus Methylopumilus	ahpC	Candidatus Methylopumilus
Ga0114336_10155852	Not Binned	NA	Unassigned	Candidatus Methylopumilus	ahpC	Candidatus Methylopumilus
Ga0114336_100026854	Not Binned	NA	Unassigned	Candidatus Methylopumilus	ahpC	Candidatus Methylopumilus
Ga0226814_10007022	Not Binned	NA	Unassigned	Candidatus Methylopumilus	ahpC	Candidatus Methylopumilus
Ga0226809_10282881	Not Binned	NA	Unassigned	Candidatus Methylopumilus	ahpC	Candidatus Methylopumilus
Ga0226809_100007726	Not Binned	NA	Unassigned	Candidatus Methylopumilus	ahpC	Candidatus Methylopumilus
Ga0114337_10919372	Not Binned	NA	Unassigned	Candidatus Methylopumilus	ahpC	Candidatus Methylopumilus
Ga0114351_11247341	Not Binned	NA	Unassigned	Candidatus Methylopumilus	ahpC	Candidatus Methylopumilus
Ga0114336_10784562	Not Binned	NA	Unassigned	Candidatus Methylopumilus	ahpC	Candidatus Methylopumilus
Ga0114336_10560004	Not Binned	NA	Unassigned	Candidatus Methylopumilus	ahpC	Candidatus Methylopumilus
Ga0226807_10730921	Not Binned	NA	Unassigned	Candidatus Methylopumilus	ahpC	Candidatus Methylopumilus
Ga0114337_14138011	Not Binned	NA	Unassigned	Candidatus Methylopumilus	ahpC	Candidatus Methylopumilus
Ga0114341_104659491	Not Binned	NA	Unassigned	Candidatus Methylopumilus	ahpC	Candidatus Methylopumilus
Ga0114336_10502811	Not Binned	NA	Unassigned	Candidatus Methylopumilus	ahpC	Candidatus Methylopumilus
Ga0114336_10120933	Not Binned	NA	Unassigned	Candidatus Methylopumilus	rpoB	Candidatus Methylopumilus
Ga0114336_10130413	Not Binned	NA	Unassigned	Candidatus Nanopelagicus	rpoB	Candidatus Nanopelagicus
Ga0114841_10118493	Not Binned	NA	Unassigned	Candidatus Planktophila	rpoB	Candidatus Planktophila
Ga0114841_100274418	Not Binned	NA	Unassigned	Candidatus Planktophila	rpoB	Candidatus Planktophila
Ga0114351_101633218	Not Binned	NA	Unassigned	Candidatus Planktophila	rpoB	Candidatus Planktophila
Ga0114347_100349511	Not Binned	NA	Unassigned	Candidatus Planktophila	rpoB	Candidatus Planktophila
Ga0114341_100366471	Not Binned	NA	Unassigned	Candidatus Planktophila	rpoB	Candidatus Planktophila
Ga0114341_100413452	Not Binned	NA	Unassigned	Candidatus Planktophila	rpoB	Candidatus Planktophila
Ga0226814_1009361	Not Binned	NA	Unassigned	Candidatus Planktophila	rpoB	Candidatus Planktophila
Ga0114841_10284251	Not Binned	NA	Unassigned	Candidatus Planktophila	rpoB	Candidatus Planktophila
Ga0226809_10049221	Not Binned	NA	Unassigned	Candidatus Planktophila	rpoB	Candidatus Planktophila
Ga0114351_10234793	Not Binned	NA	Unassigned	Candidatus Planktophila	rpoB	Candidatus Planktophila
Ga0226814_1005521	Not Binned	NA	Unassigned	Candidatus Planktophila	rpoB	Candidatus Planktophila
Ga0114337_10331801	Not Binned	NA	Unassigned	Candidatus Planktophila	rpoB	Candidatus Planktophila
Ga0114354_10246152	Not Binned	NA	Unassigned	Candidatus Planktophila	katG	Candidatus Planktophila
Ga0114354_10395311	Not Binned	NA	Unassigned	Candidatus Planktophila	katG	Candidatus Planktophila
Ga0114341_1000293811	Not Binned	NA	Unassigned	Candidatus Planktophila	katG	Candidatus Planktophila
Ga0114347_10159211	Not Binned	NA	Unassigned	Candidatus Planktophila	katG	Candidatus Planktophila
Ga0114337_10149235	Not Binned	NA	Unassigned	Candidatus Planktophila	katG	Candidatus Planktophila
Ga0114344_11788561	Not Binned	NA	Unassigned	Chakrabartia	ahpC	Chakrabartia
Ga0114341_101086101	Not Binned	NA	Unassigned	Chakrabartia	ahpC	Chakrabartia
Ga0114336_10017108	Sample_49613_57.fa	Winning_Genome	Chitinophagaceae 49613 E57	NA	rpoB	Chitinophagaceae 49613 E57
Ga0114337_100062129	Sample_49614_54.fa	Winning_Genome	Chitinophagaceae 49614 E54	NA	rpoB	Chitinophagaceae 49614 E54
Ga0114337_10054401	Sample_49614_58.fa	Losing_Genome	Chitinophagaceae 49621 E24	NA	rpoB	Chitinophagaceae 49621 E24
Ga0114337_10019425	Sample_49621_24.fa	Winning_Genome	Chitinophagaceae 49621 E24	NA	katG	Chitinophagaceae 49621 E24
Ga0226810_10025928	Sample_49621_24.fa	Winning_Genome	Chitinophagaceae 49621 E24	NA	katG	Chitinophagaceae 49621 E24
Ga0114337_1000015103	Sample_49614_51.fa	Winning_Genome	Chloroflexaceae 49614 E51	NA	rpoB	Chloroflexaceae 49614 E51
Ga0226807_10039163	Sample_49614_51.fa	Winning_Genome	Chloroflexaceae 49614 E51	NA	rpoB	Chloroflexaceae 49614 E51
Ga0114337_10045213	Sample_49614_51.fa	Winning_Genome	Chloroflexaceae 49614 E51	NA	katG	Chloroflexaceae 49614 E51
Ga0114344_10472701	Not Binned	NA	Unassigned	Chloroflexi	katG	Chloroflexi
Ga0226810_10153783	Not Binned	NA	Unassigned	Chloroflexi	katG	Chloroflexi
Ga0114354_10017222	Not Binned	NA	Unassigned	Chloroflexi	katG	Chloroflexi
Ga0114341_100594762	Not Binned	NA	Unassigned	Chloroflexi	katG	Chloroflexi
Ga0114337_10642291	Not Binned	NA	Unassigned	Chloroflexi	katG	Chloroflexi
Ga0114351_10565571	Not Binned	NA	Unassigned	Chloroflexi	katG	Chloroflexi
Ga0114337_10379693	Not Binned	NA	Unassigned	Chloroflexi	katG	Chloroflexi
Ga0114354_10658001	Not Binned	NA	Unassigned	Chrysochromulina	CCP	Chrysochromulina
Ga0114337_10095933	Not Binned	NA	Unassigned	Chrysochromulina chloroplast	rpoB	Chrysochromulina chloroplast
Ga0114341_100081391	Not Binned	NA	Unassigned	Chrysochromulina chloroplast	rpoB	Chrysochromulina chloroplast
Ga0114337_11679191	Not Binned	NA	Unassigned	Clavibacter	ahpC	Clavibacter
Ga0114351_10152741	Not Binned	NA	Unassigned	Clavibacter	rpoB	Clavibacter
Ga0114336_10141228	Sample_49613_28.fa	Winning_Genome	Comamonadaceae 49613 E28	NA	ahpC	Comamonadaceae 49613 E28
Ga0114336_10020489	Sample_49613_28.fa	Winning_Genome	Comamonadaceae 49613 E28	NA	rpoB	Comamonadaceae 49613 E28
Ga0114337_10834892	Sample_49618_8.fa	Winning_Genome	Comamonadaceae 49618 E8	NA	ahpC	Comamonadaceae 49618 E8
Ga0114336_10044922	Sample_49638_11.fa	Winning_Genome	Comamonadaceae 49638 E11	NA	rpoB	Comamonadaceae 49638 E11
Ga0114336_10005937	Sample_49613_39.fa	Winning_Genome	Cryomorphaceae 49613 E39	NA	CCP	Cryomorphaceae 49613 E39
Ga0114336_10049526	Sample_49613_39.fa	Winning_Genome	Cryomorphaceae 49613 E39	NA	ahpC	Cryomorphaceae 49613 E39
Ga0114336_100006474	Sample_49613_39.fa	Winning_Genome	Cryomorphaceae 49613 E39	NA	rpoB	Cryomorphaceae 49613 E39
Ga0114336_100098824	Sample_49621_25.fa	Losing_Genome	Cryomorphaceae 49613 E39	NA	katG	Cryomorphaceae 49613 E39
Ga0114341_1000138887	Sample_49618_18.fa	Winning_Genome	Cryomorphaceae 49618 E18	Flavobacteriales	rpoB	Cryomorphaceae 49618 E18
Ga0114341_1000048524	Sample_49618_18.fa	Winning_Genome	Cryomorphaceae 49618 E18	NA	CCP	Cryomorphaceae 49618 E18
Ga0114336_100044211	Sample_49618_18.fa	Winning_Genome	Cryomorphaceae 49618 E18	NA	CCP	Cryomorphaceae 49618 E18
Ga0114337_10224465	Sample_49618_18.fa	Winning_Genome	Cryomorphaceae 49618 E18	NA	ahpC	Cryomorphaceae 49618 E18
Ga0114341_100011623	Sample_49618_18.fa	Winning_Genome	Cryomorphaceae 49618 E18	NA	katG	Cryomorphaceae 49618 E18
Ga0114341_100049078	Sample_49628_59.fa	Winning_Genome	Cryomorphaceae 49628 E59	NA	CCP	Cryomorphaceae 49628 E59
Ga0114337_100336512	Sample_49628_59.fa	Winning_Genome	Cryomorphaceae 49628 E59	NA	ahpC	Cryomorphaceae 49628 E59
Ga0114341_1000195741	Sample_49628_59.fa	Winning_Genome	Cryomorphaceae 49628 E59	NA	rpoB	Cryomorphaceae 49628 E59
Ga0114341_100050542	Sample_49628_59.fa	Winning_Genome	Cryomorphaceae 49628 E59	NA	katG	Cryomorphaceae 49628 E59
Ga0114354_100000343	Sample_49632_27.fa	Winning_Genome	Cryomorphaceae 49632 E27	NA	CCP	Cryomorphaceae 49632 E27
Ga0114354_100022032	Sample_49632_27.fa	Winning_Genome	Cryomorphaceae 49632 E27	NA	ahpC	Cryomorphaceae 49632 E27
Ga0114354_100180314	Sample_49632_31.fa	Winning_Genome	Cryomorphaceae 49632 E31	NA	CCP	Cryomorphaceae 49632 E31
Ga0114354_100329720	Sample_49632_31.fa	Winning_Genome	Cryomorphaceae 49632 E31	NA	ahpC	Cryomorphaceae 49632 E31
Ga0114354_10006628	Sample_49632_31.fa	Winning_Genome	Cryomorphaceae 49632 E31	NA	rpoB	Cryomorphaceae 49632 E31
Ga0114336_13731621	Not Binned	NA	Unassigned	Cryomorphaceae BACL18 MAG-120924-bin36	ahpC	Cryomorphaceae BACL18 MAG-120924-bin36
Ga0114336_100005596	Not Binned	NA	Unassigned	Cryptomonas plastid	rpoB	Cryptomonas plastid
Ga0114341_1000021719	Not Binned	NA	Unassigned	Cryptomonas plastid	rpoB	Cryptomonas plastid
Ga0114337_10007741	Not Binned	NA	Unassigned	Cryptomonas plastid	rpoB	Cryptomonas plastid
Ga0114841_13390071	Not Binned	NA	Unassigned	Curvibacter	ahpC	Curvibacter
Ga0114337_13502111	Not Binned	NA	Unassigned	Curvibacter	ahpC	Curvibacter
Ga0114336_10294395	Not Binned	NA	Unassigned	Curvibacter	ahpC	Curvibacter
Ga0114337_10064028	Sample_49614_6.fa	Winning_Genome	Cyanobium	NA	ahpC	Cyanobium / Synechococcus
Ga0114337_10120972	Sample_49614_6.fa	Winning_Genome	Cyanobium	NA	katG	Cyanobium / Synechococcus
Ga0226807_10015194	Sample_49614_6.fa	Winning_Genome	Cyanobium	Synechococcus	rpoB	Cyanobium / Synechococcus
Ga0114337_10068832	Sample_49614_6.fa	Winning_Genome	Cyanobium	Synechococcus	rpoB	Cyanobium / Synechococcus
Ga0114351_10420952	Not Binned	NA	Unassigned	Cyclotella chloroplast	ahpC	Cyclotella chloroplast
Ga0114347_11168081	Not Binned	NA	Unassigned	Cyclotella chloroplast	ahpC	Cyclotella chloroplast
Ga0114338_10277351	Not Binned	NA	Unassigned	Cyclotella chloroplast	rpoB	Cyclotella chloroplast
Ga0365732_1265155_35047_39207	Not Binned	NA	Unassigned	Cyclotella chloroplast	rpoB	Cyclotella chloroplast
Ga0307118_15096276	Not Binned	NA	Unassigned	Durinskia chloroplast	rpoB	Durinskia chloroplast
Ga0365732_0857256_2418_6644	Not Binned	NA	Unassigned	Durinskia chloroplast	rpoB	Durinskia chloroplast
Ga0114359_10115171	Not Binned	NA	Unassigned	Durinskia chloroplast	rpoB	Durinskia chloroplast
Ga0114361_10088891	Not Binned	NA	Unassigned	Durinskia chloroplast	rpoB	Durinskia chloroplast
Ga0307119_103208811	Not Binned	NA	Unassigned	Durinskia chloroplast	rpoB	Durinskia chloroplast
Ga0226819_100058161	Not Binned	NA	Unassigned	Durinskia chloroplast	rpoB	Durinskia chloroplast
Ga0226669_10006281	Not Binned	NA	Unassigned	Durinskia chloroplast	rpoB	Durinskia chloroplast
Ga0226666_100010519	Bryobacter_all_normalized_coassembly_Metabat_Bin5.fa	Winning_Genome	Fimbriimonadaceae CoA8N M5	Armatimonadetes Uphvl-Ar2	rpoB	Fimbriimonadaceae CoA8N M5
